,title,episode of,season,episode,rating,votes,original air date,year,plot
24,Avatar Day,Avatar: The Last Airbender,2,5,7.601234567891,1421,2006-04-28,2006,"
    Sokka and Katara have to solve a centuries-old crime when Aang is imprisoned for a murder allegedly committed by one of his past incarnations.    "
25,The Blind Bandit,Avatar: The Last Airbender,2,6,9.101234567891,1652,2006-05-05,2006,"
    Still searching for an earthbending teacher, Aang and his friends stumble across a small earth village. When they hear about an underground earthbending tournament, they decide to go to it. Aang finds a teacher that fits the description of King Bumi. Her name is Toph Beifong, a blind, 12 year old girl who is tougher than she looks. When they meet, Toph is at first reluctant, because her parents don't know how good of a bender she is. After her parents discover her secret life, she decides that she wants to join the Avatar gang to help him master earthbending.    "
26,Zuko Alone,Avatar: The Last Airbender,2,7,9.401234567891,1980,2006-05-12,2006,"
    As Zuko tries to make it by in exile without his uncle, he remembers how his father became Firelord and what happened to his mother.    "
27,The Chase,Avatar: The Last Airbender,2,8,8.901234567891,1472,2006-05-26,2006,"
    Every time they land, Azula and her warriors find Aang, Katara, Sokka, and Toph. Toph refuses to help set up camp, claiming she carries her own weight and no one else's. After a fight between Aang, Katara and Toph, Toph storms off angrily. Aang lays a decoy trail for Azula and Sokka, Katara, Appa, and Momo, flee the other direction. Aang waits for Azula and is fighting her when Zuko and Iroh arrive. Soon, Katara, and Sokka come to the fight, too. Just as all hope of winning is lost, Toph arrives and, together, the six attack Azula. Knowing she is beat, Azula shots ...    "
28,Bitter Work,Avatar: The Last Airbender,2,9,8.501234567891,1377,2006-06-02,2006,"
    Aang begins to learn earthbending from Toph; Uncle Iroh resumes teaching Zuko firebending to better prepare him for facing Azula, and reveals a new technique he learned from watching waterbenders.    "
29,The Library,Avatar: The Last Airbender,2,10,8.801234567891,1441,2006-07-14,2006,"
    When he learns that there is a lost Library with all the knowledge in the world, Sokka convinces the others to seek it out in hopes of finding a weakness of the Fire Nation.    "
30,The Desert,Avatar: The Last Airbender,2,11,8.801234567891,1426,2006-07-14,2006,"
    Lost in the desert without Appa, Team Avatar must find a way out. Iroh and Zuko make contact with a secret organization.    "
31,The Serpent's Pass,Avatar: The Last Airbender,2,12,8.401234567891,1351,2006-09-15,2006,"
    After getting tickets for the ferry headed to Ba Sing Se, the gang meets an old friend. They skip the ferry ride to help some refugees, one of which is going to have a baby, get to Ba Sing Se. They must lead the refugees through the Serpent's Pass, a dangerous mountain-side path surrounded by water.    "
32,The Drill,Avatar: The Last Airbender,2,13,9.001234567891,1472,2006-09-15,2006,"
    After arriving at the great wall of Ba Sing Se, Aang and the gang discover that the Fire Nation has constructed a great drilling machine to penetrate the wall. The drill is also followed by an army of Fire Nation troops. Also, Zuko and Iroh are having trouble hiding the fact that they are both Firebenders.    "
33,Avatar: The Last Airbender,Avatar: The Last Airbender,1,0,8.601234567891,587,2006-09-19,2006,"
    Sokka and his sister Kya - later renamed Katara, must travel the world to find masters for Aang, who is the Avatar. However, they must evade a critical foe, Prince Zuko of the Fire Nation, who wants to capture Aang.    "
34,City of Walls and Secrets,Avatar: The Last Airbender,2,14,8.701234567891,1395,2006-09-22,2006,"
    After getting a house to stay in, Aang and company are given a tour of Ba Sing Se. As they try to get in to tell the Earth King the news, they find that nothing is quite what is seems. Jet is in the city, too, and he is positive that Iroh and Zuko are Firebenders.    "
35,The Tales of Ba Sing Se,Avatar: The Last Airbender,2,15,9.101234567891,1996,2006-09-29,2006,"
    A series of short stories covering some of the time spent by Katara, Toph, Iroh, Sokka, Aang, Zuko and Momo as they live in Ba Sing Se.    "
36,Appa's Lost Days,Avatar: The Last Airbender,2,16,8.801234567891,1483,2006-10-13,2006,"
    In this special episode, we go back in time to the moment Appa was stolen, will find out where he has gone and who he has met along the way and more importantly where he is now!    "
37,Lake Laogai,Avatar: The Last Airbender,2,17,9.001234567891,1463,2006-11-03,2006,"
    The Avatar gang encounters Jet in Ba Sing Se and he helps them to discover the location of Appa. But they will end up discovering something else, a secret of the city.    "
38,The Earth King,Avatar: The Last Airbender,2,18,8.601234567891,1354,2006-11-17,2006,"
    The kids battle Long Feng and the Dai Li when they attempt to show the Earth King the vast conspiracy taking place in his city. Zuko becomes seriously ill and has feverish dreams as he faces a spiritual crisis.    "
39,The Guru,Avatar: The Last Airbender,2,19,9.001234567891,1482,2006-12-01,2006,"
    Aang receives guidance from Guru Pathik at the Eastern Air Temple; Sokka is reunited with his long-lost father; Princess Azula has something diabolical in store for her enemies; Uncle and Zuko run their own tea shop.    "
40,The Crossroads of Destiny,Avatar: The Last Airbender,2,20,9.501234567891,2171,2006-12-01,2006,"
    The heroes work together to stop Azula's destructive plans; Zuko finds companionship in an unlikely source and learns the time has come to make an imperative choice about his future.    "
41,The Awakening,Avatar: The Last Airbender,3,1,8.701234567891,1517,2007-09-21,2007,"
    Weeks after the fall of the Earth Kingdom, Aang and his friends must infiltrate the Fire Nation. Katara meets her father for the first time in years. Zuko returns home, but is uneasy with his newfound reputation.    "
42,The Headband,Avatar: The Last Airbender,3,2,8.501234567891,1457,2007-09-28,2007,"
    Posing as a regular kid, Aang goes to a Fire Nation school and sees what's missing from their lives. Zuko visits his uncle in prison.    "
43,The Painted Lady,Avatar: The Last Airbender,3,3,8.001234567891,1422,2007-10-05,2007,"
    When Aang and his friends come across a fishing village being poisoned by a nearby factory, a local legend comes to life to help the townspeople.    "
44,Sokka's Master,Avatar: The Last Airbender,3,4,8.801234567891,1504,2007-10-12,2007,"
    After deciding he's the least valuable member of the team, Sokka seeks an apprenticeship with a sword-master. The rest of the gang tries to adjust to being without him. The imprisoned Iroh may not be as beaten as he seems.    "
45,The Beach,Avatar: The Last Airbender,3,5,8.501234567891,1522,2007-10-19,2007,"
    On a forced vacation, Zuko, Azula, Ty Lee and Mai try to blend in with normal teenagers and learn about themselves and one another. Aang and company are attacked by an ominous assassin.    "
46,The Avatar and the Fire Lord,Avatar: The Last Airbender,3,6,9.401234567891,1795,2007-10-26,2007,"
    Both Aang and Zuko must learn the history of how the war began. Zuko learns a secret about his great-grandfather's past.    "
47,The Runaway,Avatar: The Last Airbender,3,7,8.201234567891,1351,2007-11-02,2007,"
    When Toph discovers a quick way to make cash, Katara disapproves, and the rift between them has disastrous consequences.    "
48,The Puppetmaster,Avatar: The Last Airbender,3,8,9.101234567891,1657,2007-11-09,2007,"
    Creepy things are afoot when the gang meets a mysterious old innkeeper with a secret.    "
49,Nightmares and Daydreams,Avatar: The Last Airbender,3,9,7.801234567891,1450,2007-11-16,2007,"
    As the invasion approaches, Aang has recurring nightmares about being unprepared to face the Firelord. Zuko feels the perks and pressures of being the prince again.    "
50,The Day of Black Sun,Avatar: The Last Airbender,3,10,9.101234567891,1498,2007-11-30,2007,"
    Zuko makes a decision about his future. Aang reunites with many of his old friends in a full-scale invasion of the Fire Nation capitol to coincide with an eclipse which will remove the Fire Nation's powers.    "
51,The Day of Black Sun,Avatar: The Last Airbender,3,11,9.301234567891,1568,2007-11-30,2007,"
    The invasion seems to be succeeding until Aang learns that their arrival was anticipated. Zuko confronts his father.    "
52,The Western Air Temple,Avatar: The Last Airbender,3,12,8.901234567891,1454,2008-07-14,2008,"
    The gang hides out in the Western Air Temple. Zuko tries to convince the gang of his change in heart, but they are very hesitant. Combustion Man/Sparky-Sparky Boom Man attacks again.    "
53,The Firebending Masters,Avatar: The Last Airbender,3,13,9.101234567891,1580,2008-07-15,2008,"
    Zuko has joined up with Aang's group and is now ready to teach Aang fire bending. Unfortunately, Zuko has found out that he has lost his ability and must now relearn it. Zuko and Aang travel to find the original source of fire bending so that they both can learn from The Firebending Masters.    "
54,The Boiling Rock: Part 1,Avatar: The Last Airbender,3,14,8.701234567891,1420,2008-07-16,2008,"
    Sokka and Zuko head to the Fire Nation's most heavily guarded prison -- the Boiling Rock -- in hopes to find and break-out the captured invasion force.    "
55,The Boiling Rock,Avatar: The Last Airbender,3,15,9.201234567891,1523,2008-07-16,2008,"
    The escape is planned and the heroes attempt to break from the prison that very day. But problems come when Azula, Mai and Ty Lee arrive at the prison.    "
56,The Southern Raiders,Avatar: The Last Airbender,3,16,8.901234567891,1467,2008-07-17,2008,"
    Trying to prove that she can trust him, Zuko helps Katara track down the man who killed her mother.    "
57,The Ember Island Players,Avatar: The Last Airbender,3,17,8.701234567891,1584,2008-07-18,2008,"
    The gang, now hiding at Ember Island, watch a play about themselves and their adventures.    "
58,Sozin's Comet,Avatar: The Last Airbender,3,18,9.101234567891,1712,2008-07-19,2008,"
    Sozin's Comet is only three days away. Zuko tells the others what the Fire Lord plans on the day of the comet and the gang realizes that they must stop him before then. But Aang doubts that he can do what is expected of him.    "
59,Sozin's Comet,Avatar: The Last Airbender,3,19,9.501234567891,1880,2008-07-19,2008,"
    Aang awakes on a mysterious island and confronts his past lives for advice on how to stop the Fire Lord without killing him. The rest of the group searches for Aang.    "
60,Sozin's Comet,Avatar: The Last Airbender,3,20,9.701234567891,2420,2008-07-19,2008,"
    Zuko battles his sister with Katara's help for the right to be named Fire Lord. Elsewhere, Aang meets Ozai just as the comet arrives.    "
61,Sozin's Comet,Avatar: The Last Airbender,3,21,9.801234567891,4148,2008-07-19,2008,"
    Aang's moment of truth arrives. Can he defeat Ozai, the Phoenix King? Will he be forced to take a human life? All the characters face their greatest challenges.    "
62,Welcome to Republic City,The Legend of Korra,1,1,8.501234567891,1746,2012-04-14,2012,"
    Korra, the new Avatar, travels to Republic city to start her Airbending training.    "
63,A Leaf in the Wind,The Legend of Korra,1,2,8.501234567891,1535,2012-04-14,2012,"
    Against Tenzin's prohibition, a frustrated Korra sneaks out to visit the pro-bending sports arena.    "
64,The Revelation,The Legend of Korra,1,3,8.501234567891,1377,2012-04-21,2012,"
    Korra attempts to infiltrate the Equalist movement and learn more about its mysterious leader.    "
65,The Voice in the Night,The Legend of Korra,1,4,8.401234567891,1382,2012-04-28,2012,"
    Korra becomes part of Councilman Tarrlok's task force which aims to rid Republic City of the Equalists.    "
66,The Spirit of Competition,The Legend of Korra,1,5,8.101234567891,1383,2012-05-05,2012,"
    As Asami steals Mako's heart, Korra struggles to express her feelings for Mako and also at the same time Bolin tries to win Korra's heart by being brave enough to ask Korra to go out with him. The tension gets higher as the Pro bending tournament starts.    "
